Date,isMainSleep,logId,efficiency,startTime,duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,awakeningsCount,awakeCount,awakeDuration,restlessCount,restlessDuration,timeInBed,minuteDataDateTime,minuteDataValue
4/29/2014,FALSE,84,93,2:37 AM,5322,55,937,1088,81,0,63,107,118,70,436,4:23 PM,689
4/30/2014,TRUE,85,56,8:15 AM,3055,87,808,661,87,0,34,78,62,96,724,5:42 AM,532
5/1/2014,FALSE,86,17,3:43 AM,8012,39,375,231,56,0,42,29,20,2,172,11:25 AM,594
5/2/2014,TRUE,87,52,1:34 AM,7718,116,1163,688,55,0,13,106,99,26,140,10:48 PM,931
5/3/2014,TRUE,88,4,5:18 AM,9783,86,891,134,7,0,68,46,53,93,515,8:36 AM,401
5/4/2014,FALSE,89,73,9:26 PM,8257,48,741,1082,102,0,4,116,44,44,463,6:49 PM,998
5/5/2014,TRUE,90,75,5:55 PM,1316,75,85,98,68,0,94,32,116,101,720,11:35 AM,810
5/6/2014,FALSE,91,12,10:23 PM,4219,49,742,292,81,0,48,63,56,45,1163,1:46 AM,261
5/7/2014,TRUE,92,58,3:27 PM,8168,97,17,316,36,0,9,75,12,58,621,12:50 AM,719
5/8/2014,TRUE,93,19,9:43 PM,9270,64,423,702,48,0,13,97,117,90,1027,12:29 AM,267
5/9/2014,TRUE,94,52,11:07 PM,861,75,18,974,116,0,17,42,118,26,652,6:36 AM,1088
5/10/2014,FALSE,95,81,8:07 PM,4320,103,494,1106,54,0,30,120,120,35,921,5:47 AM,1111
5/11/2014,TRUE,96,34,8:23 AM,4265,81,1110,896,48,0,53,36,47,94,1076,12:42 PM,327
5/12/2014,FALSE,97,98,2:01 AM,4436,120,331,280,12,0,34,13,59,77,253,2:48 AM,917
5/13/2014,TRUE,98,35,10:41 PM,2254,112,718,321,91,0,74,75,18,99,1177,2:09 PM,986
5/14/2014,FALSE,99,48,9:12 PM,1888,95,50,391,94,0,9,59,55,51,213,12:03 AM,924
5/15/2014,FALSE,100,24,3:15 PM,9716,30,1192,1027,39,0,86,89,19,21,816,3:51 PM,1125
5/16/2014,TRUE,101,9,8:13 AM,6608,55,139,1121,40,0,48,103,5,95,966,5:50 AM,1024
5/17/2014,FALSE,102,38,5:24 PM,8238,71,122,704,98,0,74,24,79,44,591,10:47 PM,426
5/18/2014,TRUE,103,91,5:38 AM,2293,64,91,488,74,0,85,15,44,84,349,12:05 AM,808
5/19/2014,FALSE,104,18,3:52 PM,8823,44,969,359,117,0,97,54,105,49,832,5:41 PM,128
5/20/2014,FALSE,105,2,3:13 AM,8807,120,444,239,11,0,76,53,84,14,470,11:28 PM,566
5/21/2014,FALSE,106,71,7:11 PM,7973,107,712,190,19,0,104,30,21,111,599,5:23 PM,1056
5/22/2014,TRUE,107,65,3:09 AM,9244,74,130,1151,43,0,15,47,55,17,48,4:07 AM,684
5/23/2014,TRUE,108,9,6:45 AM,25,24,808,891,65,0,24,32,16,38,188,10:36 AM,843
5/24/2014,FALSE,109,59,5:13 AM,3259,115,1061,337,79,0,35,79,101,30,337,11:07 PM,68
5/25/2014,FALSE,110,50,10:40 AM,4297,75,125,913,30,0,76,78,27,8,93,6:01 PM,120
5/26/2014,TRUE,111,90,11:07 PM,9519,54,202,287,53,0,91,6,58,40,616,8:09 AM,60
5/27/2014,FALSE,112,14,5:38 PM,7365,67,390,236,39,0,49,48,82,118,606,11:08 AM,339
5/28/2014,FALSE,113,98,7:53 AM,8508,95,827,866,31,0,31,96,0,97,885,1:08 AM,1135
5/29/2014,TRUE,114,55,2:13 AM,2754,70,511,1020,81,0,2,4,6,111,192,10:41 PM,237
5/30/2014,FALSE,115,36,10:22 PM,9800,95,1146,844,12,0,75,83,86,81,456,5:20 AM,1116
5/31/2014,TRUE,116,29,1:36 AM,1086,48,11,441,11,0,93,88,74,84,44,2:14 AM,638
6/1/2014,FALSE,117,6,2:04 PM,6886,108,1048,447,72,0,94,26,18,103,1107,12:00 PM,701
6/2/2014,FALSE,118,59,2:10 PM,3416,71,74,1091,53,0,59,34,104,63,65,10:07 PM,1171
6/3/2014,FALSE,119,74,7:12 AM,4371,74,590,965,39,0,59,57,104,56,579,5:42 PM,814
6/4/2014,FALSE,120,33,9:33 AM,5100,47,119,1132,116,0,120,28,22,53,471,11:42 PM,485
6/5/2014,FALSE,121,16,1:07 AM,1801,51,390,369,34,0,0,21,23,64,422,2:05 AM,1108
6/6/2014,FALSE,122,73,6:36 AM,4564,22,1153,785,37,0,70,63,78,20,1104,4:16 PM,812
6/7/2014,TRUE,123,68,7:13 PM,1578,119,961,160,73,0,109,14,98,42,918,3:49 AM,1138
6/8/2014,FALSE,124,75,3:50 PM,5027,36,784,52,86,0,77,113,95,30,720,3:15 AM,508
6/9/2014,TRUE,125,9,2:33 PM,7405,48,173,664,93,0,67,107,91,48,921,11:27 PM,665
6/10/2014,TRUE,126,73,4:10 AM,5245,106,1200,519,109,0,79,111,63,104,1174,9:45 PM,148
6/11/2014,TRUE,127,52,5:10 AM,4384,103,392,975,45,0,68,79,25,72,465,1:38 PM,466
6/12/2014,FALSE,128,51,9:32 AM,4318,114,227,570,33,0,0,70,12,80,742,1:55 AM,807
6/13/2014,FALSE,129,16,6:44 PM,8004,87,1039,733,31,0,5,26,69,19,219,4:17 AM,394
6/14/2014,FALSE,130,13,3:04 PM,471,85,511,561,30,0,11,15,108,95,671,4:05 PM,176
6/15/2014,TRUE,131,62,8:59 PM,5853,79,341,216,4,0,115,24,38,40,1170,2:09 AM,337
6/16/2014,FALSE,132,40,3:13 AM,3992,100,961,635,37,0,23,0,23,47,946,12:31 PM,1068
6/17/2014,TRUE,133,61,9:46 AM,5086,118,231,233,18,0,29,93,95,112,931,7:53 AM,480
6/18/2014,TRUE,134,42,11:53 PM,7596,97,425,78,88,0,86,83,35,106,724,11:23 PM,485
6/19/2014,TRUE,135,59,11:05 PM,5537,102,131,594,9,0,107,77,92,58,459,3:09 PM,971
6/20/2014,TRUE,136,35,4:41 PM,7959,102,687,888,108,0,82,71,45,59,1020,8:08 PM,1052
6/21/2014,FALSE,137,15,4:53 AM,9824,83,871,929,32,0,109,109,90,49,830,1:35 PM,176
6/22/2014,FALSE,138,78,11:43 AM,1722,52,278,741,39,0,38,112,47,119,4,6:12 AM,190
6/23/2014,TRUE,139,33,1:28 AM,4137,78,252,617,4,0,93,58,64,64,787,7:14 AM,1022
6/24/2014,FALSE,140,49,10:40 AM,3173,64,465,737,19,0,75,91,90,86,392,6:27 AM,930
6/25/2014,FALSE,141,5,8:17 PM,4455,92,427,392,17,0,25,21,105,65,332,11:06 PM,532
6/26/2014,TRUE,142,34,1:19 PM,7669,0,573,1151,6,0,84,69,115,65,897,7:21 AM,389
6/27/2014,FALSE,143,38,5:35 AM,360,8,1170,377,97,0,49,73,16,38,785,4:12 AM,625
6/28/2014,TRUE,144,47,11:00 AM,924,73,829,1062,64,0,10,42,47,96,461,9:36 AM,884
6/29/2014,TRUE,145,68,8:36 PM,6896,10,448,895,57,0,41,81,110,41,16,5:45 AM,819
6/30/2014,FALSE,146,53,3:21 PM,2069,33,604,952,117,0,15,102,108,21,1194,8:27 PM,713
7/1/2014,TRUE,147,54,2:49 AM,8366,26,643,945,77,0,12,118,82,67,219,10:58 AM,800
7/2/2014,TRUE,148,19,3:36 PM,2452,19,469,810,45,0,57,82,38,57,783,9:01 PM,793
7/3/2014,TRUE,149,90,12:23 PM,2687,118,846,982,56,0,99,62,73,82,818,12:23 PM,17
7/4/2014,TRUE,150,21,11:51 AM,4768,99,117,610,8,0,24,67,62,54,920,3:11 PM,683
7/5/2014,TRUE,151,21,10:45 AM,1185,27,838,725,39,0,86,109,107,114,678,8:08 PM,500
7/6/2014,FALSE,152,4,1:24 PM,5460,71,159,975,110,0,53,61,90,108,580,2:30 PM,500
7/7/2014,FALSE,153,95,2:08 AM,1026,92,56,1196,95,0,52,45,42,93,1002,7:05 PM,758
7/8/2014,FALSE,154,9,2:17 AM,9964,119,63,123,26,0,25,47,69,55,594,10:37 AM,360
7/9/2014,FALSE,155,94,6:05 AM,445,29,1103,1122,88,0,13,114,16,102,887,5:21 PM,95
7/10/2014,TRUE,156,76,8:49 AM,364,63,555,139,107,0,16,68,4,8,1102,10:32 AM,693
7/11/2014,TRUE,157,37,9:15 AM,2921,114,807,1041,14,0,9,75,16,90,931,11:04 AM,908
7/12/2014,TRUE,158,51,7:16 AM,4557,109,616,733,40,0,67,84,40,52,306,7:30 AM,14
7/13/2014,FALSE,159,100,12:38 AM,2465,95,685,406,23,0,97,0,63,92,1160,5:27 AM,1115
7/14/2014,FALSE,160,61,4:10 AM,7617,67,526,847,42,0,99,107,117,11,713,3:26 AM,767
7/15/2014,FALSE,161,11,11:34 AM,653,60,697,271,39,0,39,109,108,97,556,2:07 PM,403
7/16/2014,TRUE,162,74,9:06 AM,1240,113,1107,35,112,0,31,58,119,59,1099,8:34 PM,289
7/17/2014,FALSE,163,35,7:14 PM,5258,120,383,855,23,0,32,0,93,120,815,12:00 AM,648
7/18/2014,TRUE,164,3,3:53 PM,3451,68,259,330,2,0,76,103,83,112,1033,3:05 PM,1009
7/19/2014,FALSE,165,58,9:04 PM,6809,52,259,319,32,0,109,44,20,40,35,8:05 AM,59
7/20/2014,FALSE,166,95,3:54 PM,1900,67,529,1055,49,0,104,107,9,89,454,8:24 AM,902
7/21/2014,FALSE,167,61,1:40 AM,3686,55,1009,163,95,0,12,74,64,109,188,3:55 PM,786
7/22/2014,FALSE,168,37,7:39 AM,6486,39,746,943,107,0,96,38,11,38,1189,3:35 AM,29
7/23/2014,TRUE,169,96,8:49 PM,2917,90,595,262,24,0,49,5,56,3,477,5:41 AM,881
7/24/2014,FALSE,170,8,10:12 AM,5747,17,980,1008,96,0,14,105,72,46,1065,6:16 PM,657
7/25/2014,TRUE,171,69,5:25 PM,6814,74,1088,1162,84,0,120,119,86,17,337,9:46 PM,1042
7/26/2014,FALSE,172,7,8:43 PM,1468,81,496,334,51,0,62,113,69,78,342,9:22 PM,829
7/27/2014,FALSE,173,41,12:37 AM,9177,58,29,71,38,0,46,0,94,40,1068,7:20 PM,1154
7/28/2014,FALSE,174,91,6:58 PM,8887,93,97,825,22,0,55,53,100,37,1090,9:40 PM,535
7/29/2014,TRUE,175,89,9:08 AM,9772,30,239,735,42,0,99,42,65,6,1109,3:28 PM,838
7/30/2014,FALSE,176,95,2:26 PM,8407,0,1030,116,102,0,95,55,48,72,813,1:55 AM,731
7/31/2014,TRUE,177,6,2:56 PM,9550,2,355,976,108,0,32,70,112,31,1043,5:44 PM,980
8/1/2014,FALSE,178,45,2:38 PM,3734,1,53,611,1,0,12,84,56,108,733,7:25 AM,150
8/2/2014,FALSE,179,70,4:36 PM,4727,29,833,827,5,0,95,81,84,89,522,8:08 PM,291
8/3/2014,FALSE,180,6,2:01 PM,131,25,544,1156,43,0,52,78,0,96,527,7:42 AM,320
8/4/2014,FALSE,181,67,1:13 AM,6656,93,354,3,11,0,111,83,78,86,141,6:44 AM,856
8/5/2014,TRUE,182,61,10:34 AM,2136,28,67,6,91,0,84,49,99,20,329,5:28 PM,686
8/6/2014,TRUE,183,89,7:27 PM,1674,118,70,945,3,0,85,66,59,99,110,8:54 AM,1151
8/7/2014,TRUE,184,94,3:02 AM,4834,92,861,533,44,0,59,65,21,64,986,11:08 AM,129
8/8/2014,FALSE,185,7,8:19 AM,5291,18,1107,40,98,0,23,19,105,62,302,4:30 AM,830
8/9/2014,TRUE,186,95,3:48 PM,4499,20,280,225,11,0,36,4,2,111,956,2:02 AM,55
8/10/2014,TRUE,187,41,5:55 AM,8403,13,363,857,2,0,35,70,13,106,1000,9:34 AM,122
8/11/2014,TRUE,188,45,9:28 AM,163,36,502,384,70,0,68,39,79,115,1175,10:43 AM,416
8/12/2014,FALSE,189,54,5:37 AM,9518,15,600,1131,48,0,52,101,85,98,417,7:12 AM,181
8/13/2014,TRUE,190,39,10:00 PM,4403,29,1147,545,53,0,9,119,3,15,224,4:05 AM,1122
8/14/2014,FALSE,191,37,10:26 PM,6183,0,767,1033,76,0,78,108,59,65,537,11:54 AM,415
8/15/2014,TRUE,192,51,5:54 AM,3748,32,96,594,114,0,18,69,70,42,1063,6:05 AM,873
8/16/2014,FALSE,193,30,11:41 AM,2586,102,1158,613,103,0,64,19,76,15,278,3:14 PM,1005
8/17/2014,TRUE,194,57,3:32 AM,8641,95,1189,1018,68,0,41,30,118,70,865,12:18 AM,62
8/18/2014,TRUE,195,34,3:22 PM,4976,18,549,620,73,0,67,47,75,71,647,11:45 AM,151
8/19/2014,FALSE,196,77,7:10 AM,774,32,922,57,0,0,59,120,101,47,701,8:33 PM,654
8/20/2014,TRUE,197,39,9:46 AM,3824,48,182,532,107,0,7,13,67,67,715,6:24 PM,635
8/21/2014,TRUE,198,23,5:10 AM,5396,30,595,178,47,0,53,87,73,76,992,9:22 AM,377
8/22/2014,FALSE,199,14,5:34 AM,5848,43,1170,342,40,0,119,33,109,59,724,5:56 AM,478
8/23/2014,TRUE,200,2,4:09 AM,3930,54,1048,484,100,0,35,24,31,22,11,3:09 AM,1164
8/24/2014,TRUE,201,11,6:47 AM,5047,101,126,72,54,0,107,117,2,117,914,5:35 PM,477
8/25/2014,TRUE,202,64,12:54 AM,2056,110,281,260,53,0,94,70,26,39,842,11:40 PM,1099
8/26/2014,TRUE,203,50,10:03 PM,863,48,184,230,6,0,77,12,116,23,436,11:51 PM,591
8/27/2014,FALSE,204,72,5:41 AM,5698,46,28,984,38,0,32,7,33,80,767,5:23 PM,121
8/28/2014,FALSE,205,12,2:36 PM,2127,115,293,396,39,0,118,71,76,24,682,2:26 PM,838
8/29/2014,FALSE,206,72,11:19 PM,4829,99,17,11,96,0,100,8,49,58,1031,8:37 PM,921
8/30/2014,FALSE,207,62,1:47 AM,8380,33,124,836,105,0,116,13,84,63,140,1:02 AM,561
8/31/2014,FALSE,208,35,3:32 PM,9499,77,846,755,14,0,18,41,2,24,485,2:43 PM,528
9/1/2014,TRUE,209,9,8:42 AM,7671,22,305,1054,78,0,114,11,97,86,269,1:55 PM,818
9/2/2014,TRUE,210,54,1:13 PM,5173,75,118,789,58,0,102,47,83,77,949,12:26 PM,958
9/3/2014,FALSE,211,14,9:22 PM,132,32,1108,627,93,0,102,23,42,19,472,6:41 AM,195
9/4/2014,TRUE,212,96,2:07 AM,6630,110,1027,24,21,0,26,49,12,68,457,4:29 AM,206
9/5/2014,TRUE,213,87,2:32 PM,934,76,977,244,28,0,56,112,52,101,333,5:04 PM,859
9/6/2014,FALSE,214,83,9:07 PM,4798,90,292,443,17,0,84,53,74,24,571,8:16 PM,710
9/7/2014,FALSE,215,12,5:45 PM,1664,92,79,933,34,0,99,102,51,84,929,9:02 PM,1077
9/8/2014,TRUE,216,23,2:40 PM,9257,95,54,1147,3,0,65,106,114,26,299,4:43 AM,1112
9/9/2014,FALSE,217,91,5:06 PM,9614,91,759,1195,15,0,113,25,111,120,503,7:38 AM,257
9/10/2014,FALSE,218,65,9:14 AM,334,5,408,181,112,0,67,116,106,56,557,6:07 AM,760
9/11/2014,FALSE,219,65,6:02 AM,8596,104,807,993,67,0,55,80,117,57,899,3:16 PM,431
9/12/2014,TRUE,220,77,1:42 AM,4077,43,642,738,36,0,73,89,105,109,1084,11:17 PM,733
9/13/2014,TRUE,221,53,9:18 PM,942,0,1141,519,25,0,32,35,86,58,112,6:13 PM,995
9/14/2014,TRUE,222,79,5:58 AM,8077,25,1187,904,115,0,23,33,101,21,224,11:04 PM,415
9/15/2014,FALSE,223,19,3:24 PM,6082,21,712,1188,50,0,49,84,32,47,1149,11:50 AM,221
9/16/2014,FALSE,224,12,5:29 AM,833,53,258,674,20,0,111,40,103,53,180,9:23 AM,8
9/17/2014,TRUE,225,10,1:24 AM,164,20,933,370,58,0,74,63,98,66,998,4:57 AM,1197
9/18/2014,FALSE,226,55,5:47 PM,4491,51,274,444,54,0,89,88,28,112,447,12:58 PM,478
9/19/2014,TRUE,227,13,6:37 PM,7722,42,1079,853,48,0,32,48,5,14,389,12:42 PM,1200
9/20/2014,FALSE,228,19,6:52 PM,8660,86,996,978,20,0,26,25,8,52,386,12:08 PM,398
9/21/2014,TRUE,229,84,8:52 PM,2266,93,853,1153,20,0,29,33,25,1,1191,2:50 AM,1200
9/22/2014,TRUE,230,24,2:30 PM,4748,113,266,365,88,0,3,93,54,4,599,5:15 AM,771
9/23/2014,FALSE,231,70,9:03 PM,3905,87,1146,847,62,0,18,23,31,88,954,6:30 AM,1163
9/24/2014,TRUE,232,89,10:16 PM,2069,13,1088,1180,98,0,86,60,73,57,1095,12:51 AM,849
9/25/2014,FALSE,233,27,5:56 AM,9111,79,652,118,67,0,23,116,11,76,353,9:13 AM,739
9/26/2014,FALSE,234,64,11:00 PM,1964,100,275,805,46,0,57,33,93,12,50,4:35 AM,120
9/27/2014,FALSE,235,42,8:52 PM,4463,19,639,1200,100,0,87,26,71,74,971,11:39 PM,382
9/28/2014,FALSE,236,56,10:27 PM,8764,103,47,580,44,0,33,44,76,93,112,7:03 PM,31
9/29/2014,TRUE,237,2,8:27 PM,7625,23,399,918,77,0,2,14,80,10,1077,12:41 PM,578
9/30/2014,TRUE,238,19,9:53 PM,8145,18,1078,862,93,0,56,108,103,69,597,3:40 AM,800
10/1/2014,TRUE,239,20,4:39 AM,8578,86,650,56,8,0,108,118,16,111,134,12:05 AM,206
10/2/2014,TRUE,240,68,8:45 AM,7509,3,988,1138,110,0,84,62,70,112,423,11:29 AM,1117
10/3/2014,FALSE,241,35,3:45 PM,4343,76,857,1084,66,0,78,111,83,45,1132,7:55 PM,896
10/4/2014,TRUE,242,91,4:21 PM,7900,3,464,854,43,0,67,52,20,16,547,1:17 PM,1054
10/5/2014,FALSE,243,74,8:58 AM,95,67,343,885,91,0,113,5,22,18,454,11:10 AM,1051
10/6/2014,TRUE,244,20,9:10 PM,1845,58,331,347,49,0,2,41,64,0,781,1:38 PM,397
10/7/2014,FALSE,245,11,1:11 AM,5393,74,515,809,114,0,102,59,12,2,229,7:34 PM,1027
10/8/2014,TRUE,246,78,8:13 AM,8062,71,895,52,37,0,44,11,115,73,864,12:26 PM,838
10/9/2014,TRUE,247,44,3:19 AM,2093,56,81,174,84,0,82,103,62,23,474,5:47 PM,870
